video,block,fingerprint,processing_seconds
ashley_dior_dl.mp4,8,"-191.518433,179.908844,1.635171,22.370825,-5.144472,19.968493,11.788422,14.604137,1.411244,12.697948,3.092241,9.665181,9.260133,6.314869,12.179639,10.517137,5.275262,0.063372,1.334365,-2.342308",0.168
ashley_dior_dl.mp4,9,"-120.362869,154.058136,-4.531185,46.464478,-27.620020,31.301918,-6.319211,23.527075,-7.472518,20.961658,-0.970389,15.190882,3.687402,3.467221,3.526712,8.613321,12.863168,0.228194,6.170359,-0.111838",0.168
ashley_dior_dl.mp4,10,"-225.304443,176.181366,14.275994,22.506266,0.606444,15.729968,13.528741,16.048708,5.683357,10.738808,10.037549,8.463208,2.454306,5.404330,14.169571,7.365466,2.616656,-1.153578,-0.259904,-1.183467",0.168
ashley_dior_dl.mp4,11,"-184.969788,164.973740,-2.925830,37.214054,-10.461762,20.067842,6.419489,19.050810,-2.721793,16.664957,2.244293,5.404900,5.421844,8.177382,14.660866,6.211807,4.988969,-1.671945,1.774920,-2.501840",0.168
ashley_dior_dl.mp4,12,"-146.233093,166.373871,-9.059492,38.559250,-18.049143,19.658758,-1.821774,25.593405,-8.481916,15.071689,4.662596,11.901334,2.751873,5.087165,9.217400,8.647226,7.538752,1.753176,6.504451,-4.430773",0.168
ashley_dior_dl.mp4,13,"-171.822159,175.577972,-8.947973,35.704334,-12.815507,18.205320,3.768520,21.277895,-4.361285,13.649324,4.233656,9.900543,4.081785,5.415187,10.222083,6.808209,6.783955,2.514915,3.985063,-3.864072",0.168
ashley_dior_dl.mp4,14,"-219.926300,166.789124,-1.093293,36.667393,-7.712203,23.169800,5.573194,24.018524,-0.481502,17.395578,2.116265,5.692999,-0.219198,3.822296,16.068150,6.240627,0.149451,-2.064742,3.034909,-1.633720",0.168
ashley_homemadematcha_dl.mp4,0,"-358.176178,138.811752,-16.868895,65.810410,9.237823,25.602015,-0.188728,9.939442,3.514939,12.220510,0.035224,5.042716,4.576852,5.514152,5.139227,-0.718156,3.138990,1.063947,2.753515,-2.148441",0.263
ashley_homemadematcha_dl.mp4,1,"-372.716949,132.839615,-17.484938,52.515625,0.442384,49.680927,-4.458660,12.563077,26.386932,4.575917,-10.588916,3.123504,22.946838,12.422605,26.652983,-8.396341,-4.946503,3.501811,-5.092295,9.094263",0.263
ashley_homemadematcha_dl.mp4,2,"-404.018463,163.416275,1.500906,33.501865,4.323286,25.851910,2.194913,13.396121,33.858833,3.279354,-1.492462,16.427052,13.525552,10.575797,11.535213,-11.703322,-0.038583,5.287240,-2.176119,9.539988",0.263
ashley_homemadematcha_dl.mp4,3,"-389.960480,134.528015,-13.799829,47.051640,5.829813,45.387615,-4.011712,14.582150,30.715557,5.289183,-4.121840,4.769660,20.934229,16.634390,24.167860,-4.611073,-4.455076,1.286012,-3.497236,6.126087",0.263
ashley_homemadematcha_dl.mp4,4,"-413.267334,142.351318,6.037732,37.614101,15.146333,33.903072,9.792238,10.543038,26.858559,7.232405,-8.474365,10.327113,20.636782,11.145597,17.816917,-9.553060,-6.765370,3.482897,-4.536663,9.233358",0.263
ashley_homemadematcha_dl.mp4,5,"-303.575867,139.693604,-18.001333,68.233177,-3.374714,40.728275,-3.656349,1.984216,3.476725,4.276210,7.039608,4.839089,1.317244,4.964737,0.759798,-5.757168,6.968006,-2.349574,-2.827404,-0.836636",0.263
ashley_homemadematcha_dl.mp4,6,"-326.434387,129.567673,-35.012890,54.306271,-9.662370,43.854328,-3.225016,18.188686,19.105700,0.363220,2.626719,4.848147,6.276912,15.035796,20.214340,-3.624796,-3.713847,3.201705,-5.420692,1.224791",0.263
ashley_homemadematcha_dl.mp4,7,"-394.770416,148.086792,7.768127,47.329376,0.858113,33.026447,3.672314,1.404948,22.598875,5.263525,-0.645853,10.893926,7.198668,11.465746,6.188025,-5.499270,3.683631,7.918754,-0.911422,5.194229",0.263
ashley_homemadematcha_dl.mp4,8,"-389.326813,140.418152,-4.695146,41.506866,-4.179432,46.701244,-9.063392,10.106927,26.984774,1.570556,-16.736055,5.932235,27.588837,14.716509,35.275829,-5.474775,-5.963440,7.015135,-2.756289,12.049286",0.263
ashley_homemadematcha_dl.mp4,9,"-378.015045,141.901764,4.727850,41.099495,4.807091,33.407307,2.674818,1.759070,15.607619,11.441740,-4.619302,7.506431,8.918628,5.065747,13.734389,-5.407473,2.221994,5.749114,-2.950217,6.833342",0.263
ashley_homemadematcha_dl.mp4,10,"-344.768219,151.522491,-8.884176,50.681355,5.158247,39.338810,-2.073298,12.462397,21.665514,3.438122,-3.478209,3.089126,13.243383,12.155568,19.619881,-5.913969,-3.682484,-0.012500,-2.746516,4.764036",0.263
ashley_homemadematcha_dl.mp4,11,"-440.613403,144.959579,20.786810,45.726723,5.647379,41.946281,6.611240,5.022328,29.404900,5.848702,-15.733018,10.934622,19.513754,7.176580,17.598072,-8.285044,-4.254148,7.326316,-2.306033,17.688330",0.263
ashley_homemadematcha_dl.mp4,12,"-361.341827,134.466324,2.265474,51.934948,-10.340562,32.805626,1.541274,6.342254,17.058416,4.125325,2.675558,7.810143,6.596415,14.310461,15.059270,-2.596274,-1.515812,3.668382,-1.218740,2.174724",0.263
ashley_homemadematcha_dl.mp4,13,"-425.610321,139.501724,-0.275203,39.598309,8.874552,47.346466,1.562660,11.660349,32.052326,4.749465,-17.617792,9.812200,25.623236,12.812944,17.756401,-8.192209,-6.795104,3.567615,-6.436885,16.056421",0.263
ashley_homemadematcha_dl.mp4,14,"-419.626617,137.824173,5.813334,43.435658,21.895336,34.827251,2.123441,6.092205,12.506713,16.355982,6.604194,9.274041,9.911156,6.822193,4.286122,-3.561797,5.291856,2.195608,-1.612527,2.457338",0.263
ashley_homemadematcha_dl.mp4,15,"-431.097473,121.227905,5.235444,38.348663,-23.328434,2.202186,-15.276495,1.975910,-6.696491,-6.212051,-1.691108,5.479411,-11.541872,4.002781,7.842223,0.309948,12.055016,-3.819054,-5.249373,-0.850468",0.263
ashley_korea_dl.mp4,0,"-208.151001,111.126617,6.673028,60.903294,-9.520770,34.637756,-8.954394,22.348915,-6.224776,15.903922,-4.842049,5.058756,3.179778,3.612279,6.417575,-2.035904,9.769163,-2.904910,7.966596,-5.179099",0.161
ashley_korea_dl.mp4,1,"-211.498230,150.250992,-26.699280,53.276054,1.095117,13.068052,-4.078802,2.723969,-1.883792,0.034657,-1.354879,-4.991572,-0.087155,-0.206425,4.768289,-4.272564,0.255237,1.952014,-1.212152,-2.796937",0.161
ashley_korea_dl.mp4,2,"-240.549820,185.556198,-16.695597,24.960979,11.762418,9.260617,3.026742,5.267573,2.478063,0.524385,5.123075,1.769971,-2.870509,-1.725871,6.299007,5.312898,3.607880,6.187442,4.496555,1.477120",0.161
ashley_korea_dl.mp4,3,"-249.036667,179.202927,-14.218462,33.710564,15.044323,7.327353,4.387801,10.643220,-1.556989,-3.396205,0.036492,-3.249903,-0.444455,-0.874390,9.319536,3.288691,0.851079,6.316479,5.275247,2.239706",0.161
ashley_korea_dl.mp4,4,"-248.608948,152.227783,-24.642466,57.334068,14.623041,8.275412,0.930370,-0.437342,5.091467,-2.141532,-10.046827,-6.473862,-0.256117,-2.481390,3.771656,0.744028,3.146856,4.737831,5.663171,2.037651",0.161
ashley_korea_dl.mp4,5,"-228.650070,171.427872,-29.896540,49.040100,19.563091,11.880984,7.870287,0.716148,6.113801,-0.730868,-2.114997,3.402436,0.595651,3.243819,8.688425,3.745147,6.292027,7.348944,6.956635,2.888287",0.161
ashley_korea_dl.mp4,6,"-224.780472,169.428589,-25.850754,38.970795,10.561838,10.910795,-7.108726,4.555885,1.448500,-1.898784,-1.986777,-5.265383,-3.548939,2.509878,9.961669,-2.482647,1.406767,8.010969,4.124933,-1.778947",0.161
ashley_korea_dl.mp4,7,"-231.877716,161.684509,-19.225105,43.199215,4.822893,22.136641,4.716159,-0.031472,5.487247,0.729013,1.552989,1.943817,-2.682635,0.498864,7.999727,2.182383,4.525515,4.122940,7.888549,2.010195",0.161
ashley_korea_dl.mp4,8,"-217.069183,160.406479,-41.258095,56.431355,17.887119,7.356318,0.134609,5.367120,-2.410732,-3.808600,1.579636,-7.085122,-2.214342,-4.424918,8.303313,7.608414,0.750847,4.769019,7.696004,4.457563",0.161
ashley_korea_dl.mp4,9,"-228.503433,149.715622,-32.619698,60.848236,13.303318,9.948342,-0.117936,2.976988,5.590655,-2.939444,-4.987015,-5.089169,-3.300694,-4.708587,4.653162,-0.547418,2.857782,6.821572,4.397325,1.834634",0.161
ashley_korea_dl.mp4,10,"-263.968445,161.110550,-1.351300,30.193020,6.521446,16.130623,11.173622,2.710190,2.255475,1.662893,3.863784,6.749722,8.766161,8.297061,7.607517,7.071277,4.220747,-1.880327,-1.562734,-1.270470",0.161
